Timestamp,What NHL team won the 2016 Stanley Cup?,What company recently bought out Cabelas?,The Minnesota State fair is __________ acres.,What day is the election on this year?,What state is Glacier National Park located in?,"Wednesday, Tom and Joe went to a restaurant and ate dinner. When they were done they paid for the food and left. But Tom and Joe didn't pay for the food. Who did?",Select all of the companies that were established in Minnesota:
10/15/2016 14:44:31,Pittsburgh Penguins,Bass Pro,320,11/8/2016,Montanta,Wednesday ,"Target, Cargill, Caribou Coffee"
10/15/2016 21:19:13,Pittsburgh Penguins,no idea ,320,11/8/2016,Alaska,Wednesday ,"Nordstrom, Target, Caribou Coffee"
